decimalism,hexadecimal,kanji
131072,0x20000,𠀀
131073,0x20001,𠀁
131074,0x20002,𠀂
131075,0x20003,𠀃
131076,0x20004,𠀄
131077,0x20005,𠀅
131078,0x20006,𠀆
131079,0x20007,𠀇
131080,0x20008,𠀈
131081,0x20009,𠀉
131082,0x2000a,𠀊
131083,0x2000b,𠀋
131084,0x2000c,𠀌
131085,0x2000d,𠀍
131086,0x2000e,𠀎
131087,0x2000f,𠀏
131088,0x20010,𠀐
131089,0x20011,𠀑
131090,0x20012,𠀒
131091,0x20013,𠀓
131092,0x20014,𠀔
131093,0x20015,𠀕
131094,0x20016,𠀖
131095,0x20017,𠀗
131096,0x20018,𠀘
131097,0x20019,𠀙
131098,0x2001a,𠀚
131099,0x2001b,𠀛
131100,0x2001c,𠀜
131101,0x2001d,𠀝
131102,0x2001e,𠀞
131103,0x2001f,𠀟
131104,0x20020,𠀠
131105,0x20021,𠀡
131106,0x20022,𠀢
131107,0x20023,𠀣
131108,0x20024,𠀤
131109,0x20025,𠀥
131110,0x20026,𠀦
131111,0x20027,𠀧
131112,0x20028,𠀨
131113,0x20029,𠀩
131114,0x2002a,𠀪
131115,0x2002b,𠀫
131116,0x2002c,𠀬
131117,0x2002d,𠀭
131118,0x2002e,𠀮
131119,0x2002f,𠀯
131120,0x20030,𠀰
131121,0x20031,𠀱
131122,0x20032,𠀲
131123,0x20033,𠀳
131124,0x20034,𠀴
131125,0x20035,𠀵
131126,0x20036,𠀶
131127,0x20037,𠀷
131128,0x20038,𠀸
131129,0x20039,𠀹
131130,0x2003a,𠀺
131131,0x2003b,𠀻
131132,0x2003c,𠀼
131133,0x2003d,𠀽
131134,0x2003e,𠀾
131135,0x2003f,𠀿
131136,0x20040,𠁀
131137,0x20041,𠁁
131138,0x20042,𠁂
131139,0x20043,𠁃
131140,0x20044,𠁄
131141,0x20045,𠁅
131142,0x20046,𠁆
131143,0x20047,𠁇
131144,0x20048,𠁈
131145,0x20049,𠁉
131146,0x2004a,𠁊
131147,0x2004b,𠁋
131148,0x2004c,𠁌
131149,0x2004d,𠁍
131150,0x2004e,𠁎
131151,0x2004f,𠁏
131152,0x20050,𠁐
131153,0x20051,𠁑
131154,0x20052,𠁒
131155,0x20053,𠁓
131156,0x20054,𠁔
131157,0x20055,𠁕
131158,0x20056,𠁖
131159,0x20057,𠁗
131160,0x20058,𠁘
131161,0x20059,𠁙
131162,0x2005a,𠁚
131163,0x2005b,𠁛
131164,0x2005c,𠁜
131165,0x2005d,𠁝
131166,0x2005e,𠁞
131167,0x2005f,𠁟
131168,0x20060,𠁠
131169,0x20061,𠁡
131170,0x20062,𠁢
131171,0x20063,𠁣
131172,0x20064,𠁤
131173,0x20065,𠁥
131174,0x20066,𠁦
131175,0x20067,𠁧
131176,0x20068,𠁨
131177,0x20069,𠁩
131178,0x2006a,𠁪
131179,0x2006b,𠁫
131180,0x2006c,𠁬
131181,0x2006d,𠁭
131182,0x2006e,𠁮
131183,0x2006f,𠁯
131184,0x20070,𠁰
131185,0x20071,𠁱
131186,0x20072,𠁲
131187,0x20073,𠁳
131188,0x20074,𠁴
131189,0x20075,𠁵
131190,0x20076,𠁶
131191,0x20077,𠁷
131192,0x20078,𠁸
131193,0x20079,𠁹
131194,0x2007a,𠁺
131195,0x2007b,𠁻
131196,0x2007c,𠁼
131197,0x2007d,𠁽
131198,0x2007e,𠁾
131199,0x2007f,𠁿
131200,0x20080,𠂀
131201,0x20081,𠂁
131202,0x20082,𠂂
131203,0x20083,𠂃
131204,0x20084,𠂄
131205,0x20085,𠂅
131206,0x20086,𠂆
131207,0x20087,𠂇
131208,0x20088,𠂈
131209,0x20089,𠂉
131210,0x2008a,𠂊
131211,0x2008b,𠂋
131212,0x2008c,𠂌
131213,0x2008d,𠂍
131214,0x2008e,𠂎
131215,0x2008f,𠂏
131216,0x20090,𠂐
131217,0x20091,𠂑
131218,0x20092,𠂒
131219,0x20093,𠂓
131220,0x20094,𠂔
131221,0x20095,𠂕
131222,0x20096,𠂖
131223,0x20097,𠂗
131224,0x20098,𠂘
131225,0x20099,𠂙
131226,0x2009a,𠂚
131227,0x2009b,𠂛
131228,0x2009c,𠂜
131229,0x2009d,𠂝
131230,0x2009e,𠂞
131231,0x2009f,𠂟
131232,0x200a0,𠂠
131233,0x200a1,𠂡
131234,0x200a2,𠂢
131235,0x200a3,𠂣
131236,0x200a4,𠂤
131237,0x200a5,𠂥
131238,0x200a6,𠂦
131239,0x200a7,𠂧
131240,0x200a8,𠂨
131241,0x200a9,𠂩
131242,0x200aa,𠂪
131243,0x200ab,𠂫
131244,0x200ac,𠂬
131245,0x200ad,𠂭
131246,0x200ae,𠂮
131247,0x200af,𠂯
131248,0x200b0,𠂰
131249,0x200b1,𠂱
131250,0x200b2,𠂲
131251,0x200b3,𠂳
131252,0x200b4,𠂴
131253,0x200b5,𠂵
131254,0x200b6,𠂶
131255,0x200b7,𠂷
131256,0x200b8,𠂸
131257,0x200b9,𠂹
131258,0x200ba,𠂺
131259,0x200bb,𠂻
131260,0x200bc,𠂼
131261,0x200bd,𠂽
131262,0x200be,𠂾
131263,0x200bf,𠂿
131264,0x200c0,𠃀
131265,0x200c1,𠃁
131266,0x200c2,𠃂
131267,0x200c3,𠃃
131268,0x200c4,𠃄
131269,0x200c5,𠃅
131270,0x200c6,𠃆
131271,0x200c7,𠃇
131272,0x200c8,𠃈
131273,0x200c9,𠃉
131274,0x200ca,𠃊
131275,0x200cb,𠃋
131276,0x200cc,𠃌
131277,0x200cd,𠃍
131278,0x200ce,𠃎
131279,0x200cf,𠃏
131280,0x200d0,𠃐
131281,0x200d1,𠃑
131282,0x200d2,𠃒
131283,0x200d3,𠃓
131284,0x200d4,𠃔
131285,0x200d5,𠃕
131286,0x200d6,𠃖
131287,0x200d7,𠃗
131288,0x200d8,𠃘
131289,0x200d9,𠃙
131290,0x200da,𠃚
131291,0x200db,𠃛
131292,0x200dc,𠃜
131293,0x200dd,𠃝
131294,0x200de,𠃞
131295,0x200df,𠃟
131296,0x200e0,𠃠
131297,0x200e1,𠃡
131298,0x200e2,𠃢
131299,0x200e3,𠃣
131300,0x200e4,𠃤
131301,0x200e5,𠃥
131302,0x200e6,𠃦
131303,0x200e7,𠃧
131304,0x200e8,𠃨
131305,0x200e9,𠃩
131306,0x200ea,𠃪
131307,0x200eb,𠃫
131308,0x200ec,𠃬
131309,0x200ed,𠃭
131310,0x200ee,𠃮
131311,0x200ef,𠃯
131312,0x200f0,𠃰
131313,0x200f1,𠃱
131314,0x200f2,𠃲
131315,0x200f3,𠃳
131316,0x200f4,𠃴
131317,0x200f5,𠃵
131318,0x200f6,𠃶
131319,0x200f7,𠃷
131320,0x200f8,𠃸
131321,0x200f9,𠃹
131322,0x200fa,𠃺
131323,0x200fb,𠃻
131324,0x200fc,𠃼
131325,0x200fd,𠃽
131326,0x200fe,𠃾
131327,0x200ff,𠃿
131328,0x20100,𠄀
131329,0x20101,𠄁
131330,0x20102,𠄂
131331,0x20103,𠄃
131332,0x20104,𠄄
131333,0x20105,𠄅
131334,0x20106,𠄆
131335,0x20107,𠄇
131336,0x20108,𠄈
131337,0x20109,𠄉
131338,0x2010a,𠄊
131339,0x2010b,𠄋
131340,0x2010c,𠄌
131341,0x2010d,𠄍
131342,0x2010e,𠄎
131343,0x2010f,𠄏
131344,0x20110,𠄐
131345,0x20111,𠄑
131346,0x20112,𠄒
131347,0x20113,𠄓
131348,0x20114,𠄔
131349,0x20115,𠄕
131350,0x20116,𠄖
131351,0x20117,𠄗
131352,0x20118,𠄘
131353,0x20119,𠄙
131354,0x2011a,𠄚
131355,0x2011b,𠄛
131356,0x2011c,𠄜
131357,0x2011d,𠄝
131358,0x2011e,𠄞
131359,0x2011f,𠄟
131360,0x20120,𠄠
131361,0x20121,𠄡
131362,0x20122,𠄢
131363,0x20123,𠄣
131364,0x20124,𠄤
131365,0x20125,𠄥
131366,0x20126,𠄦
131367,0x20127,𠄧
131368,0x20128,𠄨
131369,0x20129,𠄩
131370,0x2012a,𠄪
131371,0x2012b,𠄫
131372,0x2012c,𠄬
131373,0x2012d,𠄭
131374,0x2012e,𠄮
131375,0x2012f,𠄯
131376,0x20130,𠄰
131377,0x20131,𠄱
131378,0x20132,𠄲
131379,0x20133,𠄳
131380,0x20134,𠄴
131381,0x20135,𠄵
131382,0x20136,𠄶
131383,0x20137,𠄷
131384,0x20138,𠄸
131385,0x20139,𠄹
131386,0x2013a,𠄺
131387,0x2013b,𠄻
131388,0x2013c,𠄼
131389,0x2013d,𠄽
131390,0x2013e,𠄾
131391,0x2013f,𠄿
131392,0x20140,𠅀
131393,0x20141,𠅁
131394,0x20142,𠅂
131395,0x20143,𠅃
131396,0x20144,𠅄
131397,0x20145,𠅅
131398,0x20146,𠅆
131399,0x20147,𠅇
131400,0x20148,𠅈
131401,0x20149,𠅉
131402,0x2014a,𠅊
131403,0x2014b,𠅋
131404,0x2014c,𠅌
131405,0x2014d,𠅍
131406,0x2014e,𠅎
131407,0x2014f,𠅏
131408,0x20150,𠅐
131409,0x20151,𠅑
131410,0x20152,𠅒
131411,0x20153,𠅓
131412,0x20154,𠅔
131413,0x20155,𠅕
131414,0x20156,𠅖
131415,0x20157,𠅗
131416,0x20158,𠅘
131417,0x20159,𠅙
131418,0x2015a,𠅚
131419,0x2015b,𠅛
131420,0x2015c,𠅜
131421,0x2015d,𠅝
131422,0x2015e,𠅞
131423,0x2015f,𠅟
131424,0x20160,𠅠
131425,0x20161,𠅡
131426,0x20162,𠅢
131427,0x20163,𠅣
131428,0x20164,𠅤
131429,0x20165,𠅥
131430,0x20166,𠅦
131431,0x20167,𠅧
131432,0x20168,𠅨
131433,0x20169,𠅩
131434,0x2016a,𠅪
131435,0x2016b,𠅫
131436,0x2016c,𠅬
131437,0x2016d,𠅭
131438,0x2016e,𠅮
131439,0x2016f,𠅯
131440,0x20170,𠅰
131441,0x20171,𠅱
131442,0x20172,𠅲
