decimalism,hexadecimal,kanji
196608,0x30000,𰀀
196609,0x30001,𰀁
196610,0x30002,𰀂
196611,0x30003,𰀃
196612,0x30004,𰀄
196613,0x30005,𰀅
196614,0x30006,𰀆
196615,0x30007,𰀇
196616,0x30008,𰀈
196617,0x30009,𰀉
196618,0x3000a,𰀊
196619,0x3000b,𰀋
196620,0x3000c,𰀌
196621,0x3000d,𰀍
196622,0x3000e,𰀎
196623,0x3000f,𰀏
196624,0x30010,𰀐
196625,0x30011,𰀑
196626,0x30012,𰀒
196627,0x30013,𰀓
196628,0x30014,𰀔
196629,0x30015,𰀕
196630,0x30016,𰀖
196631,0x30017,𰀗
196632,0x30018,𰀘
196633,0x30019,𰀙
196634,0x3001a,𰀚
196635,0x3001b,𰀛
196636,0x3001c,𰀜
196637,0x3001d,𰀝
196638,0x3001e,𰀞
196639,0x3001f,𰀟
196640,0x30020,𰀠
196641,0x30021,𰀡
196642,0x30022,𰀢
196643,0x30023,𰀣
196644,0x30024,𰀤
196645,0x30025,𰀥
196646,0x30026,𰀦
196647,0x30027,𰀧
196648,0x30028,𰀨
196649,0x30029,𰀩
196650,0x3002a,𰀪
196651,0x3002b,𰀫
196652,0x3002c,𰀬
196653,0x3002d,𰀭
196654,0x3002e,𰀮
196655,0x3002f,𰀯
196656,0x30030,𰀰
196657,0x30031,𰀱
196658,0x30032,𰀲
196659,0x30033,𰀳
196660,0x30034,𰀴
196661,0x30035,𰀵
196662,0x30036,𰀶
196663,0x30037,𰀷
196664,0x30038,𰀸
196665,0x30039,𰀹
196666,0x3003a,𰀺
196667,0x3003b,𰀻
196668,0x3003c,𰀼
196669,0x3003d,𰀽
196670,0x3003e,𰀾
196671,0x3003f,𰀿
196672,0x30040,𰁀
196673,0x30041,𰁁
196674,0x30042,𰁂
196675,0x30043,𰁃
196676,0x30044,𰁄
196677,0x30045,𰁅
196678,0x30046,𰁆
196679,0x30047,𰁇
196680,0x30048,𰁈
196681,0x30049,𰁉
196682,0x3004a,𰁊
196683,0x3004b,𰁋
196684,0x3004c,𰁌
196685,0x3004d,𰁍
196686,0x3004e,𰁎
196687,0x3004f,𰁏
196688,0x30050,𰁐
196689,0x30051,𰁑
196690,0x30052,𰁒
196691,0x30053,𰁓
196692,0x30054,𰁔
196693,0x30055,𰁕
196694,0x30056,𰁖
196695,0x30057,𰁗
196696,0x30058,𰁘
196697,0x30059,𰁙
196698,0x3005a,𰁚
196699,0x3005b,𰁛
196700,0x3005c,𰁜
196701,0x3005d,𰁝
196702,0x3005e,𰁞
196703,0x3005f,𰁟
196704,0x30060,𰁠
196705,0x30061,𰁡
196706,0x30062,𰁢
196707,0x30063,𰁣
196708,0x30064,𰁤
196709,0x30065,𰁥
196710,0x30066,𰁦
196711,0x30067,𰁧
196712,0x30068,𰁨
196713,0x30069,𰁩
196714,0x3006a,𰁪
196715,0x3006b,𰁫
196716,0x3006c,𰁬
196717,0x3006d,𰁭
196718,0x3006e,𰁮
196719,0x3006f,𰁯
196720,0x30070,𰁰
196721,0x30071,𰁱
196722,0x30072,𰁲
196723,0x30073,𰁳
196724,0x30074,𰁴
196725,0x30075,𰁵
196726,0x30076,𰁶
196727,0x30077,𰁷
196728,0x30078,𰁸
196729,0x30079,𰁹
196730,0x3007a,𰁺
196731,0x3007b,𰁻
196732,0x3007c,𰁼
196733,0x3007d,𰁽
196734,0x3007e,𰁾
196735,0x3007f,𰁿
196736,0x30080,𰂀
196737,0x30081,𰂁
196738,0x30082,𰂂
196739,0x30083,𰂃
196740,0x30084,𰂄
196741,0x30085,𰂅
196742,0x30086,𰂆
196743,0x30087,𰂇
196744,0x30088,𰂈
196745,0x30089,𰂉
196746,0x3008a,𰂊
196747,0x3008b,𰂋
196748,0x3008c,𰂌
196749,0x3008d,𰂍
196750,0x3008e,𰂎
196751,0x3008f,𰂏
196752,0x30090,𰂐
196753,0x30091,𰂑
196754,0x30092,𰂒
196755,0x30093,𰂓
196756,0x30094,𰂔
196757,0x30095,𰂕
196758,0x30096,𰂖
196759,0x30097,𰂗
196760,0x30098,𰂘
196761,0x30099,𰂙
196762,0x3009a,𰂚
196763,0x3009b,𰂛
196764,0x3009c,𰂜
196765,0x3009d,𰂝
196766,0x3009e,𰂞
196767,0x3009f,𰂟
196768,0x300a0,𰂠
196769,0x300a1,𰂡
196770,0x300a2,𰂢
196771,0x300a3,𰂣
196772,0x300a4,𰂤
196773,0x300a5,𰂥
196774,0x300a6,𰂦
196775,0x300a7,𰂧
196776,0x300a8,𰂨
196777,0x300a9,𰂩
196778,0x300aa,𰂪
196779,0x300ab,𰂫
196780,0x300ac,𰂬
196781,0x300ad,𰂭
196782,0x300ae,𰂮
196783,0x300af,𰂯
196784,0x300b0,𰂰
196785,0x300b1,𰂱
196786,0x300b2,𰂲
196787,0x300b3,𰂳
196788,0x300b4,𰂴
196789,0x300b5,𰂵
196790,0x300b6,𰂶
196791,0x300b7,𰂷
196792,0x300b8,𰂸
196793,0x300b9,𰂹
196794,0x300ba,𰂺
196795,0x300bb,𰂻
196796,0x300bc,𰂼
196797,0x300bd,𰂽
196798,0x300be,𰂾
196799,0x300bf,𰂿
196800,0x300c0,𰃀
196801,0x300c1,𰃁
196802,0x300c2,𰃂
196803,0x300c3,𰃃
196804,0x300c4,𰃄
196805,0x300c5,𰃅
196806,0x300c6,𰃆
196807,0x300c7,𰃇
196808,0x300c8,𰃈
196809,0x300c9,𰃉
196810,0x300ca,𰃊
196811,0x300cb,𰃋
196812,0x300cc,𰃌
196813,0x300cd,𰃍
196814,0x300ce,𰃎
196815,0x300cf,𰃏
196816,0x300d0,𰃐
196817,0x300d1,𰃑
196818,0x300d2,𰃒
196819,0x300d3,𰃓
196820,0x300d4,𰃔
196821,0x300d5,𰃕
196822,0x300d6,𰃖
196823,0x300d7,𰃗
196824,0x300d8,𰃘
196825,0x300d9,𰃙
196826,0x300da,𰃚
196827,0x300db,𰃛
196828,0x300dc,𰃜
196829,0x300dd,𰃝
196830,0x300de,𰃞
196831,0x300df,𰃟
196832,0x300e0,𰃠
196833,0x300e1,𰃡
196834,0x300e2,𰃢
196835,0x300e3,𰃣
196836,0x300e4,𰃤
196837,0x300e5,𰃥
196838,0x300e6,𰃦
196839,0x300e7,𰃧
196840,0x300e8,𰃨
196841,0x300e9,𰃩
196842,0x300ea,𰃪
196843,0x300eb,𰃫
196844,0x300ec,𰃬
196845,0x300ed,𰃭
196846,0x300ee,𰃮
196847,0x300ef,𰃯
196848,0x300f0,𰃰
196849,0x300f1,𰃱
196850,0x300f2,𰃲
196851,0x300f3,𰃳
196852,0x300f4,𰃴
196853,0x300f5,𰃵
196854,0x300f6,𰃶
196855,0x300f7,𰃷
196856,0x300f8,𰃸
196857,0x300f9,𰃹
196858,0x300fa,𰃺
196859,0x300fb,𰃻
196860,0x300fc,𰃼
196861,0x300fd,𰃽
196862,0x300fe,𰃾
196863,0x300ff,𰃿
196864,0x30100,𰄀
196865,0x30101,𰄁
196866,0x30102,𰄂
196867,0x30103,𰄃
196868,0x30104,𰄄
196869,0x30105,𰄅
196870,0x30106,𰄆
196871,0x30107,𰄇
196872,0x30108,𰄈
196873,0x30109,𰄉
196874,0x3010a,𰄊
196875,0x3010b,𰄋
196876,0x3010c,𰄌
196877,0x3010d,𰄍
196878,0x3010e,𰄎
196879,0x3010f,𰄏
196880,0x30110,𰄐
196881,0x30111,𰄑
196882,0x30112,𰄒
196883,0x30113,𰄓
196884,0x30114,𰄔
196885,0x30115,𰄕
196886,0x30116,𰄖
196887,0x30117,𰄗
196888,0x30118,𰄘
196889,0x30119,𰄙
196890,0x3011a,𰄚
196891,0x3011b,𰄛
196892,0x3011c,𰄜
196893,0x3011d,𰄝
196894,0x3011e,𰄞
196895,0x3011f,𰄟
196896,0x30120,𰄠
196897,0x30121,𰄡
196898,0x30122,𰄢
196899,0x30123,𰄣
196900,0x30124,𰄤
196901,0x30125,𰄥
196902,0x30126,𰄦
196903,0x30127,𰄧
196904,0x30128,𰄨
196905,0x30129,𰄩
196906,0x3012a,𰄪
196907,0x3012b,𰄫
196908,0x3012c,𰄬
196909,0x3012d,𰄭
196910,0x3012e,𰄮
196911,0x3012f,𰄯
196912,0x30130,𰄰
196913,0x30131,𰄱
196914,0x30132,𰄲
196915,0x30133,𰄳
196916,0x30134,𰄴
196917,0x30135,𰄵
196918,0x30136,𰄶
196919,0x30137,𰄷
196920,0x30138,𰄸
196921,0x30139,𰄹
196922,0x3013a,𰄺
196923,0x3013b,𰄻
196924,0x3013c,𰄼
196925,0x3013d,𰄽
196926,0x3013e,𰄾
196927,0x3013f,𰄿
196928,0x30140,𰅀
196929,0x30141,𰅁
196930,0x30142,𰅂
196931,0x30143,𰅃
196932,0x30144,𰅄
196933,0x30145,𰅅
196934,0x30146,𰅆
196935,0x30147,𰅇
196936,0x30148,𰅈
196937,0x30149,𰅉
196938,0x3014a,𰅊
196939,0x3014b,𰅋
196940,0x3014c,𰅌
196941,0x3014d,𰅍
196942,0x3014e,𰅎
196943,0x3014f,𰅏
196944,0x30150,𰅐
196945,0x30151,𰅑
196946,0x30152,𰅒
196947,0x30153,𰅓
196948,0x30154,𰅔
196949,0x30155,𰅕
196950,0x30156,𰅖
196951,0x30157,𰅗
196952,0x30158,𰅘
196953,0x30159,𰅙
196954,0x3015a,𰅚
196955,0x3015b,𰅛
196956,0x3015c,𰅜
196957,0x3015d,𰅝
196958,0x3015e,𰅞
196959,0x3015f,𰅟
196960,0x30160,𰅠
196961,0x30161,𰅡
196962,0x30162,𰅢
196963,0x30163,𰅣
196964,0x30164,𰅤
196965,0x30165,𰅥
196966,0x30166,𰅦
196967,0x30167,𰅧
196968,0x30168,𰅨
196969,0x30169,𰅩
196970,0x3016a,𰅪
196971,0x3016b,𰅫
196972,0x3016c,𰅬
196973,0x3016d,𰅭
196974,0x3016e,𰅮
196975,0x3016f,𰅯
196976,0x30170,𰅰
196977,0x30171,𰅱
196978,0x30172,𰅲
196979,0x30173,𰅳
196980,0x30174,𰅴
196981,0x30175,𰅵
196982,0x30176,𰅶
196983,0x30177,𰅷
196984,0x30178,𰅸
196985,0x30179,𰅹
196986,0x3017a,𰅺
196987,0x3017b,𰅻
